Product_Name,Brand,Offered_Price,Actual_Price,Rating,Connectivity,Compatibility
"Ant Esports GP130 Wired Gamepad for PC, PS3, Android TV, Laptop – Dual Vibration USB Controller with Turbo Mode, 14 Buttons, Plug & Play, Ergonomic Design, Compatible with Windows & Steam_ Black",Ant,747,1599,4.2,Wired,Universal
"Ant Esports GP115 Wired Gamepad for PC, Laptop & PS3 | Dual Vibration USB Gaming Controller | Dual Analog Sticks | X-Input/D-Input Plug & Play | Compatible with Windows & Android TV/Media Box (Black)",Ant,719,1599,4.1,Wired,Universal
"Cosmic Byte Ares Pro Wireless Controller for PC, Android, iOS – Tri-Mode (2.4GHz, Bluetooth, Wired), Hall Effect Joysticks & Triggers, 1000Hz Polling, Backlit Buttons, 3.5mm Audio Port, Upgraded Windows Software Support (Black)",Cosmic,2349,4499,4.1,Wireless,Universal
"Gamenophobia X3 Game Controller Wireless Joystick Android Gamepad | Gaming Remote Control for PC , Phone , Tablet | Wireless Controller Support for Android Smart Phone Smart Box TV & PC X3 Bluetooth Wireless (Not Supporting iOS)",Gamenophobia,753,1999,3.8,Wireless,Universal
"8Bitdo Ultimate 2C Wireless Controller for Windows PC and Android, with 1000Hz Polling Rate, Hall Effect Joysticks and Hall Triggers, and Remappable L4/R4 Bumpers (Green)",8Bitdo,2999,4399,4.6,Wireless,Universal
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Trigger and Upgraded TMR Joystick, Macros, 1000mAh Battery, RGB LED, Software Support (Black)",Cosmic,2699,5499,4.2,Wired,Universal
"Cosmic Byte Quantum Gamepad Dual Model Bluetooth+ Wired for PS4, PC, iOS, Android, Nintendo Switch, Hall Effect Triggers and Joystick, Touchpad, Speaker, 1000mAH Battery (Transparent Black)",Cosmic,2799,5999,4.2,Wired,Universal
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Trigger and Upgraded TMR Joystick, Macros, 1000mAh Battery, RGB LED, Software Support (Black)",Cosmic,2699,5499,4.2,Wired,Universal
"Cosmic Byte ARES Wired Controller for PC, Upgraded Hall Effect Joystick & Triggers, Dual Vibration, Backit LED Buttons, Turbo, Auto Turbo (Black)",Cosmic,999,2499,4.5,Wired,Universal
"ARcNet Wireless Gaming Controller for PC, Android & iOS – Hall Effect Joystick Gamepad with RGB Lighting, Dual Vibration & Turbo | Compatible with Windows 10/11, PS3",ARcNet,2998,8999,4.5,Wireless,Universal
Cosmic Byte Starforge Tri-Mode Controller | Optical Triggers with Trigger Locks | TMR Replaceable Joysticks | Impulse Trigger Feedback | HD Voice Coil Vibration | Macro Back Buttons | RGB & Tri-Mode Connectivity,Cosmic,4285,9999,3.1,Wired,Console
"Ant Esports SUPERNOVA Tri-Mode Enhanced Wireless Gamepad, Bluetooth & 2.4G Dongle, Hall Joysticks &Triggers, Touchpad, RGB, No Stick Drift, No Dead Zone -For Windows PC, Android, Steam, iOS, PS4_White",Ant,1997,3999,3.7,Wireless,Universal
ARcNet Dualshock Wireless Controller Game Switch For PS 4 With 3.5 mm Headset Port & 6 Axis Gyro Sensor Wireless USB Controller Compatible for PS 4 Slim/PRO/Fat With Built in Speaker,ARcNet,2198,2999,4.2,Wireless,Console
"PowerA Battle Dragon™ Wireless Controller for PC and Cloud Gaming: Magnetic Hall Effect, Asymmetric Rumble Motors, 20h Playtime (Not for iOS)",PowerA,2799,4999,4.0,Wireless,Universal
"NiTHO HEXAGON Wireless RGB Controller for PS4, PS5 (with PS4 Games Only), PC, Android & iOS, Gamepad Joystick with RGB LED Lights | Vibration | 6-Axis Motion Sensor | Touchpad | Trigger Sets | Speaker",NiTHO,2359,235900,3.8,Wireless,Universal
"Cosmic Byte Lumora Tri-Mode Controller with Stealth Black RGB-Reveal Design, Hall Effect Joysticks & Triggers, Mechanical Buttons, 1000Hz Polling Rate, 6-Axis Gyro, Windows Software, 3.5mm Audio Jack, Macro & Turbo, 1300mAh Battery",Cosmic,3399,5999,4.6,Wired,Console
Ant Esports GP165 Wired Controller with Hall Effect Magnetic Triggers for PC/PS3/Android (Black/Grey),Ant,1057,2499,3.7,Wired,Universal
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Fortnite Midas, USB-C, Officially Licensed (Bonus Virtual Item Included)",PowerA,3099,309900,4.4,Wired,Universal
"Cosmic Byte Blitz Tri Mode Controller for PC, Hall Effect Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo, Upgraded with Gyro, TMR Joystick, Software and Charging Dock Support (White)",Cosmic,1999,3999,4.3,Wired,Universal
SpinBot Astro GX2 Wireless PC Controller with RGB Lighting | 1000Hz Polling Rate | Hall Effect Joysticks | Turbo Mode | 2.4GHz Low-Latency Gamepad for Windows,SpinBot,1699,3499,4.0,Wireless,Universal
Cosmic Byte Eclipse Tri-Mode Controller | Hall Effect Triggers with Trigger Locks | Adjustable Force TMR Joysticks | 6-Axis Gyro | HD Voice Coil Vibration | Macro Back Buttons | PC/Android/iOS,Cosmic,3499,6999,4.5,Wired,Universal
"ZEBRONICS MAX LINK PRO, Wireless Controller, Hall Effect, 6 Axis Gyro, Analog Triggers, Touch Pad, Dual Motor Haptics, Macro Buttons, Rechargeable Battery, Supports PS4, PS3, Windows, Android, iOS",ZEBRONICS,2099,4199,3.3,Wireless,Console
"GameSir G8 Galileo Type-C Mobile Gaming Controller for Android & iPhone 15 Series (USB-C), Plug and Play Android Gamepad with Hall Effect Joysticks/Hall Trigger, 3.5mm Audio Jack",GameSir,6560,9999,4.3,Wired,Console
Ant Esports GPL200 Wired Gaming Controller Game Controller Joystick with Dual-Vibration Turbo and Trigger Buttons for Windows PC/ PS3/ Android TV Box(Black),Ant,997,1999,4.2,Wired,Universal
"FRONTECH Fire Wired Gaming Pad with USB Type-C | Dual Vibration Motors | RGB Lighting |Trigger Button|Compatible with PS3, PC & Android TV (GP-0001, Black)",FRONTECH,1500,2500,4.0,Wired,Universal
"Ant Esports GP400 RGB Wireless Gamepad | Hall Effect Triggers & Joystick | Double Shock, Six-Axis Sensor, Turbo Function | 1000mAh Battery, 12H Playtime | PC/PS4/PS3/Switch/Android/iOS – White",Ant,1899,4999,4.2,Wireless,Universal
Sony Dualsense Edge Wireless Controller (Playstation 5),Sony,16598,18990,4.4,Wireless,Console
"PowerA Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Black (Officially Licensed)",PowerA,2599,4499,4.2,Wired,Universal
"Cosmic Byte Stratos Xenon All in One PS4/iOS/Android/PC Wireless Programmable Gamepad, Magnetic Accurate Triggers, Upgraded Hall Effect Joysticks (Black)",Cosmic,1672,3999,4.2,Wireless,Universal
"EvoFox One X Wireless Gaming Controller for PC, Switch, Android, iOS & macOS, Tri-Mode, Hall Effect Joysticks & Triggers, On-the-fly 6 Axis Gyro, 1000Hz Polling, Macro buttons, 800mAh Battery (Black)",EvoFox,2799,3999,4.2,Wireless,Universal
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Trigger and Upgraded TMR Joystick, Macros, 1000mAh Battery, RGB LED, Software Support (Black)",Cosmic,2699,5499,4.2,Wired,Universal
"Cosmic Byte ARES Wired Controller for PC, Upgraded Hall Effect Joystick & Triggers, Dual Vibration, Backit LED Buttons, Turbo, Auto Turbo (Black)",Cosmic,999,2499,4.5,Wired,Universal
Cosmic Byte Eclipse Tri-Mode Controller | Hall Effect Triggers with Trigger Locks | Adjustable Force TMR Joysticks | 6-Axis Gyro | HD Voice Coil Vibration | Macro Back Buttons | PC/Android/iOS,Cosmic,3499,6999,4.5,Wired,Universal
"Ant Esports GP300 Pro V2 Wireless Gaming Controller, Compatible for PC & Laptop (Windows 10/8 /7 XP, Steam) / PS3",Ant,1599,2999,4.0,Wireless,Universal
"8Bitdo Ultimate 2C Wired Controller for Windows PC and Android, with 1000Hz Polling Rate, Hall Effect Joysticks and Hall Triggers, and Remappable L4/R4 Bumpers (Purple)",8Bitdo,4793,1424085,4.6,Wired,Universal
"Ant Esports GP325 Wireless Gamepad, Android/Windows/macOS/Switch, Bluetooth Mobile Gaming Controller Gamepad for XBox Cloud Gaming and PS",Ant,1499,3499,3.8,Wireless,Console
SCUF ENVISION PRO Wireless V1 (2023) PC Gaming Controller - Five Remappable G-Keys - Remappable Back Paddles - Instant Triggers - iCUE Compatible - Steel Grey,SCUF,34094,34094,3.9,Wireless,Universal
"HyperX Clutch Gladiate - Wired Controller, Officially Licensed by Xbox, fully compatible with Xbox One and Xbox Series X|S consoles, as well as PC, Dual Trigger Locks, Programmable Buttons, Dual Rumble Motor (7D6H2AA)",HyperX,2499,5317,4.4,Wired,Universal
"GameSir Cyclone 2 Wireless Controller for PC/Switch/Android/iOS, 1000Hz Polling Rate, TMR Joysticks, Hall/Micro 2-in-1 Triggers，PC Gaming Controller with Charging Dock (White)",GameSir,5999,599900,4.6,Wireless,Universal
"NiTHO PS Wireless Gamepad Controller for PS4, PC, PS3, Steam Deck, PS5 (only play with PS4 games) | Gaming Joystick with Touchpad, 6-Axis Motion Sensor, Dual Vibration, Analog Triggers & Sticks",NiTHO,1369,2999,3.7,Wireless,Universal
